60%-3,,80%-3,,100%-3,,
²¨³¤ (nm),Abs,²¨³¤ (nm),Abs,²¨³¤ (nm),Abs,
705.9934082,0.9103087783,705.9934082,1.197828174,705.9934082,1.435801983,
704.9892578,0.9196008444,704.9892578,1.218244672,704.9892578,1.448446155,
703.9846802,0.927611351,703.9846802,1.223332644,703.9846802,1.45419538,
703.015564,0.9378578067,703.015564,1.244045258,703.015564,1.471637726,
702.0103149,0.9478307962,702.0103149,1.252882004,702.0103149,1.475860834,
701.0047607,0.9603874087,701.0047607,1.26906836,701.0047607,1.495373845,
699.9989014,0.9687536359,699.9989014,1.279758096,699.9989014,1.513026357,
698.9926147,0.985884428,698.9926147,1.296291232,698.9926147,1.531882644,
697.9860229,0.994012773,697.9860229,1.309768319,697.9860229,1.553124547,
697.0150757,1.0095644,697.0150757,1.327567339,697.0150757,1.571398139,
696.0079346,1.022686601,696.0079346,1.346667647,696.0079346,1.579428673,
695.0003662,1.047405958,695.0003662,1.37282443,695.0003662,1.628894806,
693.9924927,1.058231711,693.9924927,1.393263102,693.9924927,1.650852084,
692.984314,1.080717206,692.984314,1.409988165,692.984314,1.646124244,
692.0118408,1.096863747,692.0118408,1.433488727,692.0118408,1.691267252,
691.0029907,1.119434595,691.0029907,1.4589082,691.0029907,1.724753261,
689.9937744,1.130630851,689.9937744,1.483279824,689.9937744,1.759122968,
688.984314,1.145900249,688.984314,1.512684941,688.984314,1.756092668,
688.010498,1.160551548,688.010498,1.534485579,688.010498,1.811521411,
687.0004272,1.175168991,687.0004272,1.536167741,687.0004272,1.819135547,
685.9899292,1.195059776,685.9899292,1.557032466,685.9899292,1.859889984,
685.0152588,1.198894739,685.0152588,1.574468136,685.0152588,1.846272707,
684.0041504,1.202940583,684.0041504,1.584112287,684.0041504,1.828149676,
682.9927979,1.209324121,682.9927979,1.584081054,682.9927979,1.861189723,
682.0171509,1.217381477,682.0171509,1.595557451,682.0171509,1.923741937,
681.005127,1.206058502,681.005127,1.571862459,681.005127,1.852079391,
679.9927979,1.208479643,679.9927979,1.590437055,679.9927979,1.853719115,
679.0162354,1.192205787,679.0162354,1.558342338,679.0162354,1.854630351,
678.0032349,1.183067322,678.0032349,1.564230442,678.0032349,1.829893112,
676.9898682,1.169774652,676.9898682,1.546877146,676.9898682,1.86613524,
676.0125122,1.157181382,676.0125122,1.529704571,676.0125122,1.808998585,
