7942 60%-1,,
²¨³¤ (nm),Abs,
573.0062866,1.06433928,
572.0001221,1.064276099,
570.9937134,1.062467575,
569.9869385,1.063160896,
569.017334,1.062760472,
568.0101929,1.060518861,
567.0027466,1.059978485,
565.9949951,1.059191585,
564.9871826,1.060292363,
564.0162964,1.056667209,
563.0079346,1.061550975,
561.9992676,1.061585903,
560.9903564,1.060652614,
560.0185547,1.061510324,
559.0092163,1.06175375,
557.9995728,1.062671542,
556.9896851,1.06131351,
556.0169067,1.06471765,
555.0065918,1.06566751,
553.9960327,1.066048026,
552.9852295,1.069014668,
552.0115356,1.069116831,
551.0002441,1.071416974,
549.9886475,1.073073745,
549.0143433,1.076252222,
548.0022583,1.080421567,
546.9901123,1.082048893,
546.0150757,1.084063053,
545.0022583,1.085695148,
543.9893188,1.089707375,
543.0136108,1.093158722,
542.0001831,1.095946193,
540.9864502,1.098012328,
540.0100708,1.102070212,
538.9959106,1.105526805,
537.9815674,1.110186577,
537.0045166,1.113651991,
535.9896851,1.116136909,
535.012146,1.12142086,
533.9968262,1.126196146,
532.9812622,1.130949736,
532.0031128,1.134621263,
530.9871216,1.141643405,
530.0084839,1.145863771,
528.9920044,1.150288582,
528.0130005,1.155777812,
526.9960938,1.164058924,
526.0166016,1.168744326,
524.9992065,1.174544811,
523.9816284,1.181943417,
523.0014038,1.189908743,
521.9833984,1.196559429,
521.0027466,1.20324707,
519.984314,1.212406635,
519.0033569,1.219193697,
517.984375,1.227598548,
517.0029297,1.234518528,
515.9834595,1.243339658,
515.0016479,1.250636458,
513.9817505,1.259318352,
512.9995117,1.268197179,
512.0170898,1.27672267,
510.996521,1.283151865,
510.0135803,1.292931557,
508.9925842,1.299096942,
508.0092773,1.305193543,
506.987915,1.31428957,
506.0041199,1.321191669,
504.9823608,1.329971671,
503.9981384,1.332215428,
