7120 60%-1,,7120 60%-2,,60%-3,,7120 80%-1,,7120 80%-2,,80%-3,,7120 100%-1,,7120 100%-2,,100%-3,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs
741.9920044,0.704791009,741.9920044,0.618215919,741.9920044,0.525704324,741.9920044,0.847067475,741.9920044,0.728226066,741.9920044,0.73638016,741.9920044,0.934762776,741.9920044,0.882566154,741.9920044,0.776456118
741,0.70766443,741,0.619248629,741,0.525546193,741,0.847896159,741,0.728993177,741,0.738886535,741,0.936687052,741,0.887320757,741,0.780415475
740.0078125,0.708542228,740.0078125,0.62226367,740.0078125,0.527657032,740.0078125,0.850745261,740.0078125,0.73001045,740.0078125,0.741601408,740.0078125,0.937085629,740.0078125,0.885603726,740.0078125,0.77848959
739.0151367,0.709049106,739.0151367,0.623229921,739.0151367,0.531047821,739.0151367,0.851617694,739.0151367,0.73538214,739.0151367,0.739970207,739.0151367,0.939278126,739.0151367,0.88757968,739.0151367,0.784446895
737.9866943,0.712318301,737.9866943,0.624370337,737.9866943,0.531131744,737.9866943,0.854546368,737.9866943,0.734582722,737.9866943,0.742135942,737.9866943,0.939350426,737.9866943,0.888665557,737.9866943,0.782271504
736.9933472,0.710887432,736.9933472,0.623751104,736.9933472,0.530921459,736.9933472,0.854314446,736.9933472,0.735698283,736.9933472,0.745500922,736.9933472,0.942748129,736.9933472,0.8876369,736.9933472,0.785814703
735.9996338,0.715551734,735.9996338,0.629659176,735.9996338,0.531829357,735.9996338,0.858196855,735.9996338,0.737915874,735.9996338,0.747261405,735.9996338,0.94127667,735.9996338,0.892344594,735.9996338,0.787310779
735.0056152,0.711502016,735.0056152,0.628098846,735.0056152,0.533262491,735.0056152,0.859126568,735.0056152,0.739433646,735.0056152,0.747198761,735.0056152,0.943761706,735.0056152,0.893438399,735.0056152,0.78589356
734.0111694,0.716772199,734.0111694,0.629775524,734.0111694,0.533104658,734.0111694,0.860026002,734.0111694,0.739777625,734.0111694,0.749078512,734.0111694,0.944829583,734.0111694,0.896504939,734.0111694,0.789950609
733.0164185,0.720938087,733.0164185,0.63109082,733.0164185,0.535437822,733.0164185,0.861924946,733.0164185,0.743716478,733.0164185,0.750879943,733.0164185,0.951397121,733.0164185,0.89340663,733.0164185,0.793883264
731.9858398,0.718906343,731.9858398,0.631876826,731.9858398,0.535182416,731.9858398,0.866179347,731.9858398,0.742811739,731.9858398,0.751619697,731.9858398,0.950903595,731.9858398,0.899314642,731.9858398,0.794225872
730.9904175,0.720380008,730.9904175,0.636532247,730.9904175,0.537539423,730.9904175,0.867931128,730.9904175,0.747229874,730.9904175,0.756316423,730.9904175,0.955379009,730.9904175,0.901857555,730.9904175,0.79541266
729.9946289,0.722976267,729.9946289,0.636453211,729.9946289,0.538137615,729.9946289,0.867417753,729.9946289,0.747747004,729.9946289,0.755736709,729.9946289,0.956635177,729.9946289,0.905716837,729.9946289,0.799278855
728.9984741,0.726295352,728.9984741,0.640112698,728.9984741,0.539749801,728.9984741,0.870042443,728.9984741,0.751430631,728.9984741,0.758566678,728.9984741,0.96132642,728.9984741,0.905006945,728.9984741,0.798883319
728.0020142,0.728023112,728.0020142,0.639685273,728.0020142,0.541935384,728.0020142,0.871439219,728.0020142,0.752471387,728.0020142,0.75908798,728.0020142,0.964617193,728.0020142,0.909035265,728.0020142,0.801956594
727.005188,0.727990747,727.005188,0.640146792,727.005188,0.543108106,727.005188,0.874420285,727.005188,0.75155896,727.005188,0.762322784,727.005188,0.962380648,727.005188,0.91291523,727.005188,0.802713215
726.0079956,0.728632331,726.0079956,0.643571019,726.0079956,0.542371571,726.0079956,0.878875315,726.0079956,0.754543245,726.0079956,0.763673484,726.0079956,0.967029333,726.0079956,0.913342774,726.0079956,0.804761648
725.0105591,0.73089993,725.0105591,0.644719303,725.0105591,0.545847297,725.0105591,0.880057037,725.0105591,0.755017281,725.0105591,0.767754912,725.0105591,0.969161451,725.0105591,0.914825082,725.0105591,0.808547735
