7942 60%-2,,7942 80%-1,,7942 80%-2,,7942 100%-1,,7942 100%-2,,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,
737.9866943,0.8095436692,737.9866943,1.045400977,737.9866943,1.045554161,737.9866943,1.241758704,737.9866943,1.247700095,
736.9933472,0.8127618432,736.9933472,1.046874404,736.9933472,1.054323673,736.9933472,1.241903543,736.9933472,1.255247831,
735.9996338,0.8106028438,735.9996338,1.055510044,735.9996338,1.054900885,735.9996338,1.257456899,735.9996338,1.257190228,
735.0056152,0.8152460456,735.0056152,1.055156827,735.0056152,1.05845058,735.0056152,1.247369289,735.0056152,1.256819248,
734.0111694,0.8208158016,734.0111694,1.056086779,734.0111694,1.057248354,734.0111694,1.261336803,734.0111694,1.266726613,
733.0164185,0.8247852325,733.0164185,1.064143181,733.0164185,1.06687963,733.0164185,1.267397881,733.0164185,1.263877511,
731.9858398,0.8276427984,731.9858398,1.062391043,731.9858398,1.070308208,731.9858398,1.26658082,731.9858398,1.271137357,
730.9904175,0.8300159574,730.9904175,1.069297314,730.9904175,1.072760701,730.9904175,1.269475698,730.9904175,1.276215196,
729.9946289,0.8329101205,729.9946289,1.070256948,729.9946289,1.076205254,729.9946289,1.279197454,729.9946289,1.284371614,
728.9984741,0.8350766897,728.9984741,1.078031898,728.9984741,1.084655643,728.9984741,1.279803753,728.9984741,1.283656001,
728.0020142,0.8389549255,728.0020142,1.082801819,728.0020142,1.080822468,728.0020142,1.286445856,728.0020142,1.289485455,
727.005188,0.8412607908,727.005188,1.083419919,727.005188,1.090783596,727.005188,1.286354303,727.005188,1.292657256,
726.0079956,0.8442959785,726.0079956,1.089419723,726.0079956,1.092197537,726.0079956,1.291002989,726.0079956,1.297900915,
725.0105591,0.8493341804,725.0105591,1.09074223,725.0105591,1.095754266,725.0105591,1.299160361,725.0105591,1.304898024,
724.0126953,0.8538210988,724.0126953,1.098899245,724.0126953,1.103786349,724.0126953,1.297501445,724.0126953,1.301436901,
723.0145264,0.8560343981,723.0145264,1.102113724,723.0145264,1.10375917,723.0145264,1.305162668,723.0145264,1.31315279,
722.0159912,0.8637998104,722.0159912,1.104450107,722.0159912,1.109562516,722.0159912,1.315405011,722.0159912,1.318319559,
721.0171509,0.8683006167,721.0171509,1.113662958,721.0171509,1.121024966,721.0171509,1.321105361,721.0171509,1.318611622,
719.9821777,0.8701285124,719.9821777,1.121553659,719.9821777,1.12353766,719.9821777,1.324607849,719.9821777,1.328040481,
718.982605,0.8752491474,718.982605,1.121005058,718.982605,1.124723673,718.982605,1.325053811,718.982605,1.335054755,
717.9827881,0.8807160258,717.9827881,1.128765345,717.9827881,1.128153324,717.9827881,1.331010818,717.9827881,1.339334846,
716.9824829,0.8831537962,716.9824829,1.132081747,716.9824829,1.134733915,716.9824829,1.339855552,716.9824829,1.34583354,
716.0176392,0.8896553516,716.0176392,1.136562467,716.0176392,1.142972112,716.0176392,1.340072274,716.0176392,1.352558136,
715.0167236,0.8936313987,715.0167236,1.144162655,715.0167236,1.152181029,715.0167236,1.350927234,715.0167236,1.362454295,
714.0155029,0.901268065,714.0155029,1.150369763,714.0155029,1.157549143,714.0155029,1.358605504,714.0155029,1.362438798,
713.013916,0.9065223336,713.013916,1.160296321,713.013916,1.15790236,713.013916,1.368930578,713.013916,1.372729659,
712.0120239,0.9126582146,712.0120239,1.168462873,712.0120239,1.160560012,712.0120239,1.367692351,712.0120239,1.381711483,
711.0097656,0.9171003699,711.0097656,1.171337605,711.0097656,1.176555753,711.0097656,1.376432776,711.0097656,1.386154652,
