60%-1,,60%-2,,60%-3,,80%-1,,80%-2,,80%-3,,100%-1,,100%-2,,100%-3,,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,
775.0164795,0.707339704,775.0164795,0.7187934518,775.0164795,0.722440958,775.0164795,0.9265817404,775.0164795,0.9245726466,775.0164795,0.9384863377,775.0164795,1.111920953,775.0164795,1.15132165,775.0164795,1.132604599,
774.0015259,0.7053028941,774.0015259,0.7201493979,774.0015259,0.722304821,774.0015259,0.9356144667,774.0015259,0.9322348237,774.0015259,0.9367998838,774.0015259,1.121810675,774.0015259,1.148294449,774.0015259,1.144726038,
772.9862061,0.7111583948,772.9862061,0.7195171714,772.9862061,0.7253651619,772.9862061,0.928414762,772.9862061,0.9318843484,772.9862061,0.94258672,772.9862061,1.123221397,772.9862061,1.154615045,772.9862061,1.142286777,
772.0054932,0.7118577957,772.0054932,0.7253789902,772.0054932,0.7265253067,772.0054932,0.9344289303,772.0054932,0.9320598841,772.0054932,0.948109448,772.0054932,1.131782055,772.0054932,1.156862736,772.0054932,1.143927932,
770.9893799,0.7141892314,770.9893799,0.7280017734,770.9893799,0.7269773483,770.9893799,0.9402119517,770.9893799,0.9375813007,770.9893799,0.9467614889,770.9893799,1.130327582,770.9893799,1.16046977,770.9893799,1.146700263,
770.0079346,0.7165872455,770.0079346,0.7285835147,770.0079346,0.7284780145,770.0079346,0.9397211075,770.0079346,0.9371323586,770.0079346,0.9546983838,770.0079346,1.132948637,770.0079346,1.164257407,770.0079346,1.154028296,
768.9910278,0.7185688615,768.9910278,0.7281827927,768.9910278,0.7326393127,768.9910278,0.9407454729,768.9910278,0.9329762459,768.9910278,0.9526411891,768.9910278,1.133599639,768.9910278,1.163956404,768.9910278,1.149711013,
768.0088501,0.7172986865,768.0088501,0.7355431914,768.0088501,0.7337213159,768.0088501,0.9458694458,768.0088501,0.9387786984,768.0088501,0.9554635882,768.0088501,1.138174176,768.0088501,1.170496464,768.0088501,1.157567143,
766.991272,0.7187981009,766.991272,0.7372934818,766.991272,0.7386142612,766.991272,0.9505759478,766.991272,0.941356957,766.991272,0.9537526965,766.991272,1.135200381,766.991272,1.166481018,766.991272,1.15560472,
766.0083008,0.720576942,766.0083008,0.7371762395,766.0083008,0.7404530048,766.0083008,0.9527637362,766.0083008,0.9476355314,766.0083008,0.9650637507,766.0083008,1.146596193,766.0083008,1.166577697,766.0083008,1.164497733,
764.9899292,0.7265017033,764.9899292,0.7390518785,764.9899292,0.7418971658,764.9899292,0.9539974332,764.9899292,0.9491670728,764.9899292,0.9637118578,764.9899292,1.146730542,764.9899292,1.171167731,764.9899292,1.165548563,
764.0062866,0.7263565063,764.0062866,0.738519609,764.0062866,0.7415047288,764.0062866,0.9576109648,764.0062866,0.9539738297,764.0062866,0.9662837982,764.0062866,1.149907351,764.0062866,1.179047227,764.0062866,1.168407559,
762.9870605,0.7283791304,762.9870605,0.7420245409,762.9870605,0.7417778373,762.9870605,0.961660862,762.9870605,0.9564271569,762.9870605,0.9661518335,762.9870605,1.158242583,762.9870605,1.1789608,762.9870605,1.173619628,
762.0026855,0.7279506326,762.0026855,0.7441778779,762.0026855,0.7492249012,762.0026855,0.9610376358,762.0026855,0.9525286555,762.0026855,0.9694808722,762.0026855,1.158346176,762.0026855,1.183401585,762.0026855,1.164130092,
760.9827881,0.7332653999,760.9827881,0.7483412027,760.9827881,0.7491648793,760.9827881,0.9617243409,760.9827881,0.957510829,760.9827881,0.9746662378,760.9827881,1.160345435,760.9827881,1.18435359,760.9827881,1.168686509,
759.9976196,0.7392863631,759.9976196,0.7524912357,759.9976196,0.7480279207,759.9976196,0.9733051062,759.9976196,0.9579858184,759.9976196,0.9769147038,759.9976196,1.16203773,759.9976196,1.186891794,759.9976196,1.180156827,
759.012146,0.739176333,759.012146,0.7519147992,759.012146,0.7540146112,759.012146,0.9711385965,759.012146,0.9648573995,759.012146,0.9751481414,759.012146,1.168078542,759.012146,1.182478905,759.012146,1.185656309,
757.9910889,0.7386817932,757.9910889,0.7545223236,757.9910889,0.7533250451,757.9910889,0.9704197645,757.9910889,0.969701767,757.9910889,0.9801830649,757.9910889,1.164114237,757.9910889,1.199273109,757.9910889,1.180282593,
757.0048218,0.7442477345,757.0048218,0.7545962334,757.0048218,0.7574736476,757.0048218,0.9725489616,757.0048218,0.9741276503,757.0048218,0.9879549146,757.0048218,1.174339175,757.0048218,1.190399885,757.0048218,1.194314361,
755.9830933,0.7443288565,755.9830933,0.7576568723,755.9830933,0.7593436241,755.9830933,0.9743977785,755.9830933,0.9699246883,755.9830933,0.9824771881,755.9830933,1.179302812,755.9830933,1.195488095,755.9830933,1.185849071,
754.9960938,0.7460084558,754.9960938,0.760913372,754.9960938,0.7608763576,754.9960938,0.9797446132,754.9960938,0.9776934981,754.9960938,0.991868794,754.9960938,1.174518585,754.9960938,1.205599546,754.9960938,1.192130566,
754.0087891,0.7524608374,754.0087891,0.7625844479,754.0087891,0.7625923753,754.0087891,0.9822461605,754.0087891,0.9797315598,754.0087891,0.9919883609,754.0087891,1.179267287,754.0087891,1.202160478,754.0087891,1.19759202,
752.9859619,0.7534433603,752.9859619,0.7656298876,752.9859619,0.7730257511,752.9859619,0.9889452457,752.9859619,0.986260891,752.9859619,0.9953369498,752.9859619,1.192732573,752.9859619,1.206785917,752.9859619,1.201021791,
751.9978638,0.7519584894,751.9978638,0.7666060328,751.9978638,0.7716563344,751.9978638,0.9886639118,751.9978638,0.9854407907,751.9978638,0.992523551,751.9978638,1.185039282,751.9978638,1.212112665,751.9978638,1.199857354,
751.0095825,0.7570426464,751.0095825,0.7687923312,751.0095825,0.7713416815,751.0095825,0.9882794619,751.0095825,0.9879511595,751.0095825,0.9975921512,751.0095825,1.181690335,751.0095825,1.218541265,751.0095825,1.200965881,
749.9854736,0.7592098117,749.9854736,0.77151227,749.9854736,0.7742951512,749.9854736,0.9948652387,749.9854736,0.9882546067,749.9854736,1.007328272,749.9854736,1.189509869,749.9854736,1.222351909,749.9854736,1.21228838,
748.9963989,0.7610005736,748.9963989,0.7760409713,748.9963989,0.7763770819,748.9963989,1.001144886,748.9963989,0.9908730984,748.9963989,1.005855322,748.9963989,1.190488577,748.9963989,1.225234628,748.9963989,1.215259314,
748.006958,0.7642723918,748.006958,0.7807487845,748.006958,0.780888319,748.006958,1.003985167,748.006958,0.997233212,748.006958,1.010020733,748.006958,1.186421275,748.006958,1.225237966,748.006958,1.219220042,
747.0170898,0.7674971819,747.0170898,0.7804418206,747.0170898,0.7807000279,747.0170898,1.004162788,747.0170898,1.006253719,747.0170898,1.008352399,747.0170898,1.202198505,747.0170898,1.221875787,747.0170898,1.222522497,
745.9916382,0.7687444687,745.9916382,0.785869956,745.9916382,0.7824803591,745.9916382,1.008207798,745.9916382,1.006106734,745.9916382,1.013914108,745.9916382,1.202279925,745.9916382,1.23194313,745.9916382,1.221135378,
745.0010986,0.7708525658,745.0010986,0.7874407768,745.0010986,0.7854056954,745.0010986,1.004362702,745.0010986,1.010865211,745.0010986,1.022320986,745.0010986,1.213019967,745.0010986,1.23628211,745.0010986,1.232344627,
